scode,name,IndustryName,IndustryCode,Listed date,Listed year,year,business,DYNA,MUNI,liva,收入熵系数,差异化战略词频占比1,差异化战略词频占比2,成本领先战略占比1,成本领先战略占比2,组织规模,ESG综合评级,ESG综合得分,数字化转型词频占比1,数字化转型词频占比2,成本黏性
10,美丽生态,土木工程建筑业,E48,1995/10/27,1995,2014,,0.0041,0.1523,,,0.00163065633917652,0.00284832660811773,0.00519771708112515,0.00907904106337527,,,,,,-0.516764713
10,美丽生态,土木工程建筑业,E48,1995/10/27,1995,2015,3,0.0038,0.1556,0.2582504931583518,,0.00144440234892972,0.00257862698681096,0.0044279219549157,0.00790497125464998,13.1542849983375,CC,60.66,,,-0.025976581
10,美丽生态,土木工程建筑业,E48,1995/10/27,1995,2016,3,0.0035,0.1588,-0.449881174,0.33800276547925,0.00182575601728039,0.00329910320152409,0.00496297058218474,0.00896798475907253,13.0925817941279,CC,60.43,,,-0.165500631
10,美丽生态,土木工程建筑业,E48,1995/10/27,1995,2017,3,0.0033,0.1619,-0.383760393,0.478574480661274,0.00262683021540008,0.00471911034511059,0.00534502843829233,0.00960236365874677,12.6459884712536,C,55.29,,,0.45703307392022
10,美丽生态,土木工程建筑业,E48,1995/10/27,1995,2018,3,0.0031,0.1649,-0.210731501,1.03570816890118,0.00331318016928658,0.00594334302199471,0.00551390568319226,0.00989111101470652,12.6987174850933,CC,60.9,7.92179602959583e-05,0.000130527854644181,-1.718791406
10,美丽生态,土木工程建筑业,E48,1995/10/27,1995,2019,3,0.0029,0.1678,-0.066155869,,0.00398478536497011,0.00703381024698266,0.00692809273682304,0.0122292382703221,12.9695990774379,C,55.78,0.000132068088436705,0.000220563007499142,
10,美丽生态,土木工程建筑业,E48,1995/10/27,1995,2020,3,0.0027,0.1706,0.0114062914602648,0.10482205656267,0.00299790412012841,0.00529819954988747,0.00573050699068793,0.0101275318829707,12.7775409133248,C,50.76,0.000171735733053977,0.000287896817780507,-0.106887123
10,美丽生态,土木工程建筑业,E48,1995/10/27,1995,2021,3,0.0026,0.1734,-0.047212737,0.414060491999341,0.00237587407867383,0.00425490764916352,0.00610167661113961,0.0109273764626245,13.036258638678,CC,64.97,0.000158737624344472,0.000264133592901654,-0.154299419
10,美丽生态,土木工程建筑业,E48,1995/10/27,1995,2023,3,0.0023,0.1788,-0.123463188,0.145167192202788,0.00178731009830206,0.00318886795187708,0.00663471172854551,0.0118374643668164,12.6564496347682,CC,62.41,0.000143515777765818,0.000235326417351401,-2.809065311
10,美丽生态,土木工程建筑业,E48,1995/10/27,1995,2024,3,0.0022,0.1814,-0.077324436,,,,,,12.5912041802174,C,50.86,0.000449866839415533,0.000730296597791583,
32,深桑达A,建筑安装业,E49,1993/10/28,1993,2014,4,0.0052,0.1456,,0.845363350903885,0.00331145408314115,0.0058073213730167,0.00496718112471173,0.00871098205952504,,,,,,0.0969245099073004
32,深桑达A,建筑安装业,E49,1993/10/28,1993,2015,4,0.0047,0.1491,0.6896616061001313,1.24568333387853,0.0029134442207861,0.00510417150016241,0.00463502489670516,0.00812027284116746,12.2670441190219,B,74.5,0.00101994915945728,0.00180455302609661,-0.161818051
32,深桑达A,建筑安装业,E49,1993/10/28,1993,2016,4,0.0043,0.1525,-0.596895218,1.20786866865002,0.00386349001931745,0.0066607460035524,0.00544108177720541,0.00938055062166963,12.1835279360387,BB,77.97,0.00139092658575158,0.00253442888554565,-1.054225471
32,深桑达A,建筑安装业,E49,1993/10/28,1993,2017,4,0.004,0.1558,-0.409533638,1.28279946637868,0.00437823392278387,0.0076953827703378,0.00491840564052994,0.00864481311213272,12.1690656902865,BB,78.7,0.00158243104514182,0.00282789377660653,0.067988166960104
32,深桑达A,建筑安装业,E49,1993/10/28,1993,2018,4,0.0037,0.159,-0.140759501,1.30012292009731,0.00434289574637489,0.00770514960832156,0.00516322049846792,0.00916056675656008,12.2799645015464,BB,76.66,0.00178724900382842,0.0031762561832856,-0.139125
32,深桑达A,建筑安装业,E49,1993/10/28,1993,2019,4,0.0035,0.1621,0.2673047696783829,1.26605436427101,0.00386118678194954,0.00682122530967526,0.00596944214141893,0.010545698024774,12.3640415115754,BB,76.2,0.00160955874889433,0.00283969778111302,0.250071760419529
32,深桑达A,建筑安装业,E49,1993/10/28,1993,2020,4,0.0033,0.1651,0.0968639300177768,1.24898727813286,0.00424132456339306,0.00751305745279229,0.0057836244046269,0.0102450783447168,12.4629479370065,BB,77.51,0.00210444702885308,0.00371117911322352,-0.067700263
32,深桑达A,建筑安装业,E49,1993/10/28,1993,2021,4,0.0031,0.168,0.1486820976207521,0.329455330691766,0.00411070826737476,0.00731518924076514,0.00617882857580555,0.0109955018401563,15.300069705045,B,74.11,0.00401216308034918,0.00706596416514246,0.0724642652386239
32,深桑达A,建筑安装业,E49,1993/10/28,1993,2022,4,0.003,0.1708,0.1206111641725487,0.203781509116413,0.00474220563010796,0.00822212225720998,0.00720699943785404,0.0124956265307142,15.4802017766319,B,74.73,0.00486149881898218,0.00870077630601317,-0.192338098
32,深桑达A,建筑安装业,E49,1993/10/28,1993,2023,4,0.0028,0.1736,-0.28743157,0.165713093861485,0.00561620224073542,0.00974066415884009,0.00706693478885378,0.0122567947983359,15.547491499031,B,74.29,0.00611101827254969,0.0107977396528025,0.0784947914633761
32,深桑达A,建筑安装业,E49,1993/10/28,1993,2024,4,0.0027,0.1763,-0.590585817,,,,,,15.7657964731853,B,72.6,0.00613854506719955,0.0104803407826432,
18,神城A退,建筑装饰装修和其它建筑业,E50,2020/11/7 0:00,2020,2020,,0.0042,0.159,0.00035084616196766403,,,,,,,,,,,
18,神城A退,建筑装饰装修和其它建筑业,E50,2020/11/7 0:00,2020,2021,,0.004,0.162,,,,,,,,,,,,
18,神城A退,建筑装饰装修和其它建筑业,E50,2020/11/7 0:00,2020,2022,,0.0038,0.1649,,,,,,,,,,,,
18,神城A退,建筑装饰装修和其它建筑业,E50,2020/11/7 0:00,2020,2023,,0.0036,0.1678,,,,,,,,,,,,
18,神城A退,建筑装饰和其它建筑业,E50,2020/11/7 0:00,2020,2024,,0.0034,0.1706,,,,,,,,,,,,
65,北方国际,土木工程建筑业,E48,1998/6/5,1998,2014,1,0.0041,0.1523,,0.407890223720498,0.00162422236523551,0.00284121368071191,0.00631301523091539,0.0110432078910689,,BB,75.65,,,0.171872405570181
65,北方国际,土木工程建筑业,E48,1998/6/5,1998,2015,1,0.0038,0.1556,0.4944416647645527,0.150388234506402,0.00258856378337502,0.00457512980003084,0.00625327206096213,0.0110522798540071,13.4026507918589,B,70.25,0.000150414580186639,0.000250537611958995,0.0571785690688484
65,北方国际,土木工程建筑业,E48,1998/6/5,1998,2016,1,0.0035,0.1588,0.2718971632845528,1.08279404000218,0.00279990836663527,0.00496434696272227,0.00577799272023825,0.0102446069139814,14.0101045967412,BB,76.6,0.000106915933528837,0.00019153418885271,-0.365504266
