scode,name,IndustryName,IndustryCode,Listed date,Listed year,year,DYNA,MUNI,liva,rev_entropy,diff_freq1,diff_freq2,cost_freq1,cost_freq2,org_size,esg_rating,esg_score,digi_freq1,digi_freq2,cost_sticky,DYNA_cal,MUNI_cal,liva_cal,rev_entropy_cal,diff_freq1_cal,cost_freq1_cal,org_size_cal,esg_score_cal,digi_freq1_cal,cost_sticky_cal
10,美丽生态,土木工程建筑业,E48,1995/10/27,1995.0,2014,0.0041,0.1523,-0.217160533,0.33800276547925,0.0016306563391765,0.0028483266081177,0.0051977170811251,0.0090790410633752,13.1542849983375,CC,60.66,0.0003147829630329,0.0005833732619685,-0.516764713,0.7400000000000002,0.05,0.40756764965043724,0.3537503131214833,0.05,0.05757298722559536,0.3659397822582899,0.05,0.2758565803048767,0.4464821760344199
10,美丽生态,土木工程建筑业,E48,1995/10/27,1995.0,2015,0.0038,0.1556,0.2582504931583518,0.33800276547925,0.0014444023489297,0.0025786269868109,0.0044279219549157,0.0079049712546499,13.1542849983375,CC,60.66,0.0003983453035871,0.0007079848941745,-0.025976581,0.65,0.16785714285714276,0.9496452440872836,0.3537503131214833,0.05,0.05,0.3659397822582899,0.05,0.38605343121014224,0.4954795102259236
10,美丽生态,土木工程建筑业,E48,1995/10/27,1995.0,2016,0.0035,0.1588,-0.449881174,0.33800276547925,0.0018257560172803,0.003299103201524,0.0049629705821847,0.0089679847590725,13.0925817941279,CC,60.43,0.0004589621255838,0.0008080466139796,-0.165500631,0.56,0.28214285714285736,0.21810057166816732,0.3537503131214833,0.05,0.05,0.348899571464934,0.05,0.4659911501828265,0.4815502685432782
10,美丽生态,土木工程建筑业,E48,1995/10/27,1995.0,2017,0.0033,0.1619,-0.383760393,0.478574480661274,0.0026268302154,0.0047191103451105,0.0053450284382923,0.0096023636587467,12.6459884712536,C,55.29,0.0005315483979024,0.0009209147106009,0.45703307392022,0.501,0.39285714285714274,0.2719321145693215,0.5155170720775424,0.08612962600201521,0.11269661146232658,0.22556652161499896,0.05,0.5382670868321059,0.8951346652284772
10,美丽生态,土木工程建筑业,E48,1995/10/27,1995.0,2018,0.0031,0.1649,-0.210731501,1.03570816890118,0.0033131801692865,0.0059433430219947,0.0055139056831922,0.0098911110147065,12.6987174850933,CC,60.9,7.92179602959583e-05,0.0001305278546441,-1.718791406,0.39999999999999997,0.501,0.41280177887103575,0.95,0.3037048819596838,0.17589014907552342,0.24012838306553363,0.05,0.05,0.3264790631962532
10,美丽生态,土木工程建筑业,E48,1995/10/27,1995.0,2019,0.0029,0.1678,-0.066155869,0.5702651127319249,0.0039847853649701,0.0070338102469826,0.006928092736823,0.0122292382703221,12.9695990774379,C,55.78,0.0001320680884367,0.0002205630074991,-0.912839265,0.3,0.6165178571428576,0.5465588818423175,0.5907835807071725,0.5101591294466883,0.6662994817944813,0.31493615832971916,0.05,0.05,0.40694047581031156
10,美丽生态,土木工程建筑业,E48,1995/10/27,1995.0,2020,0.0027,0.1706,0.0114062914602648,0.10482205656267,0.0029979041201284,0.0052981995498874,0.0057305069906879,0.0101275318829707,12.7775409133248,C,50.76,0.0001717357330539,0.0002878968177805,-0.106887123,0.20000000000000012,0.7290178571428573,0.6429326055257252,0.07345941890115856,0.2037613084160922,0.25694193838207213,0.26189658537731525,0.05,0.08721473315385392,0.4874018885242039
10,美丽生态,土木工程建筑业,E48,1995/10/27,1995.0,2021,0.0026,0.1734,-0.047212737,0.414060491999341,0.0023758740786738,0.0042549076491635,0.0061016766111396,0.0109273764626245,13.036258638678,CC,64.97,0.0001587376243444,0.0002641335929016,-0.154299419,0.15000000000000002,0.841517857142857,0.5700963923788063,0.4451742061087364,0.05,0.39583289071134203,0.33334513707684205,0.05,0.07007363061876923,0.48266853015542716
10,美丽生态,土木工程建筑业,E48,1995/10/27,1995.0,2023,0.0023,0.1788,-0.123463188,0.145167192202788,0.001787310098302,0.003188867951877,0.0066347117285455,0.0118374643668164,12.6564496347682,CC,62.41,0.0001435157777658,0.0002353264173514,-2.809065311,0.05,0.95,0.48385036396217146,0.12195560110486961,0.05,0.5772750606331215,0.22845551958059873,0.05,0.05,0.21763267633300937
32,深桑达A,建筑安装业,E49,1993/10/28,1993.0,2014,0.0052,0.1456,-0.217160533,0.845363350903885,0.0033114540831411,0.0058073213730167,0.0049671811247117,0.008710982059525,12.2670441190219,B,74.5,0.0003147829630329,0.0005833732619685,0.0969245099073004,0.95,0.05,0.40756764965043724,0.8166047300412878,0.30315770681562826,0.05,0.12091568988436353,0.6551194539249143,0.2758565803048767,0.5700678160708452
