"year","liva_taoyan_cal","rev_entropy_taoyan_cal","diff_freq1_taoyan_cal","cost_freq1_taoyan_cal","DYNA_taoyan_cal","MUNI_taoyan_cal","org_size_taoyan_cal","cost_sticky_taoyan_cal","esg_score_taoyan_cal","digi_freq1_taoyan_cal"
2014,0.407567649650437,0.353750313121483,0.05,0.0575729872255953,0.74,0.05,0.36593978225829,0.44648217603442,0.05,0.275856580304877
2015,0.949645244087284,0.353750313121483,0.05,0.05,0.65,0.167857142857143,0.36593978225829,0.495479510225924,0.05,0.386053431210142
2016,0.218100571668167,0.353750313121483,0.05,0.05,0.56,0.282142857142857,0.348899571464934,0.481550268543278,0.05,0.465991150182826
2017,0.271932114569321,0.515517072077542,0.0861296260020152,0.112696611462326,0.501,0.392857142857143,0.225566521614999,0.895134665228477,0.05,0.538267086832106
2018,0.412801778871036,0.95,0.303704881959684,0.175890149075523,0.4,0.501,0.240128383065534,0.326479063196253,0.05,0.05
2019,0.546558881842317,0.590783580707173,0.510159129446688,0.666299481794481,0.3,0.616517857142858,0.314936158329719,0.406940475810312,0.05,0.05
2020,0.642932605525725,0.0734594189011585,0.203761308416092,0.256941938382072,0.2,0.729017857142857,0.261896585377315,0.487401888524204,0.05,0.0872147331538539
2021,0.570096392378806,0.445174206108736,0.05,0.395832890711342,0.15,0.841517857142857,0.333345137076842,0.482668530155427,0.05,0.0700736306187692
2023,0.483850363962171,0.12195560110487,0.05,0.577275060633122,0.05,0.95,0.228455519580599,0.217632676333009,0.05,0.05
2020,0.629195824290487,0.338942649740626,0.643244680627661,0.602675944851305,0.77,0.289285714285715,0.288683433243459,0.475737911171485,0.362961029923453,0.649004500410926
2021,0.629195824290487,0.338942649740626,0.643244680627661,0.602675944851305,0.71,0.396428571428572,0.288683433243459,0.475737911171485,0.362961029923453,0.697002948075131
2022,0.629195824290487,0.338942649740626,0.643244680627661,0.602675944851305,0.65,0.501,0.288683433243459,0.475737911171485,0.362961029923453,0.745001395739335
2023,0.629195824290487,0.338942649740626,0.643244680627661,0.602675944851305,0.59,0.616517857142858,0.288683433243459,0.475737911171485,0.362961029923453,0.79299984340354
2014,0.407567649650437,0.816604730041288,0.303157706815628,0.05,0.95,0.05,0.120915689884364,0.570067816070845,0.655119453924914,0.275856580304877
2015,0.95,0.95,0.176987234762408,0.05,0.92,0.05,0.120915689884364,0.481917915173631,0.655119453924914,0.937641799333884
2016,0.0984106240152778,0.95,0.478154965038293,0.148639584650195,0.8,0.0571428571428573,0.0978515171088954,0.392825327676593,0.921587030716723,0.95
2017,0.25094909647824,0.95,0.58646242928134,0.05,0.71,0.175,0.0938575638074479,0.543947232535786,0.95,0.95
2018,0.46976875147651,0.95,0.579609133172875,0.05,0.62,0.289285714285715,0.124483835891828,0.484183452849004,0.82098976109215,0.95
2019,0.95,0.95,0.477424831005334,0.346351008525205,0.56,0.4,0.14770288897216,0.708312498803185,0.785665529010239,0.95
2020,0.749116739594521,0.95,0.559910963550176,0.276818371691128,0.501,0.508035714285714,0.175017294435419,0.491314068852427,0.886262798634812,0.95
2021,0.813502642935984,0.343476014913003,0.534579940725344,0.424703006302916,0.4,0.624553571428572,0.730220090206567,0.547987767278153,0.625170648464163,0.95
2022,0.778623516727806,0.192411941074703,0.657049147071346,0.750931775353933,0.35,0.737053571428572,0.755196795995466,0.478870977310025,0.67278156996587,0.95
2023,0.350357219196295,0.146652451780194,0.826547354933011,0.708430134311693,0.25,0.849553571428572,0.76452703676921,0.553431470523635,0.638993174061434,0.95
2014,0.407567649650437,0.437757340359028,0.05,0.47491539247665,0.74,0.05,0.434529501863245,0.637722625561167,0.743430034129693,0.275856580304877
2015,0.95,0.128231465960249,0.0739990376698086,0.452559614113455,0.65,0.167857142857143,0.434529501863245,0.534189503122149,0.290501043841336,0.0590977143142213
2016,0.95,0.95,0.140995985127474,0.274711006311891,0.56,0.282142857142857,0.551356444747925,0.461583108979586,0.816382252559726,0.05
2017,0.05,0.95,0.16186934861914,0.767986871372327,0.501,0.392857142857143,0.543326015640822,0.538812906642872,0.887030716723549,0.0822223983871211
2018,0.264443685853334,0.95,0.255684612046661,0.613012293269911,0.4,0.501,0.54312484191392,0.95,0.803327645051195,0.195609077363977
2019,0.527257006461355,0.95,0.293022551707738,0.627756557771179,0.3,0.616517857142858,0.578228286184101,0.494712850924665,0.95,0.419000324238381
2020,0.45115588168225,0.95,0.263535119115315,0.557853125135915,0.2,0.729017857142857,0.606501165646331,0.490429087811629,0.888566552901024,0.501407515367276
2021,0.655610394972124,0.95,0.12890928601681,0.564926918471036,0.15,0.841517857142857,0.615859109923927,0.488935848360395,0.66203071672355,0.561357488824927
2022,0.796412845520557,0.95,0.22531014169272,0.69870613840745,0.05,0.95,0.634206509148536,0.483020845780129,0.504607508532423,0.63410686020815
2023,0.777865283874492,0.95,0.393259924814538,0.717664125756505,0.05,0.95,0.644368761532809,0.489693911157016,0.95,0.501
2014,0.407567649650437,0.898649797026114,0.05,0.169402420355993,0.74,0.05,0.594262418800193,0.753894156393085,0.05,0.275856580304877
2015,0.95,0.890386918045002,0.581279819061622,0.255132552525124,0.65,0.167857142857143,0.594262418800193,0.472433018967214,0.219102296450939,0.389736188504376
